sNo         Students  Course-Code   Semester  Course Name
Tst18             27  24CSE324      3         Introduction to Blockchain Technology
Tst20             27  24CSE323      3         Introduction To Cryptography
Tst46             27  23SEDE21      5         Communication Protocol
Tst68             27  23IOTDE21     5         IOT Platform Design
Tst84             27  22CTMADE741   7         Advanced Android Application Development
Tst10             26  23AIMLDE11    3         Elective -1 - IOT
Tst105            24  22CSBS211     7         Elective III:  Cryptology
Tst123            24  22CTMADE752   7         Introduction to Blockchain Technology
Tst92             24  22CTMADE742   7         Cloud Data Engineer
Tst40             21  23CSBSDE513   5         Business Strategy
Tst51             21  23AIDEDE12    5         Domain Sepcific AI
Tst118            20  22CTISDE741   7         Infrastructure Solution on Cloud
Tst119            20  22SEDE15      7         Infrastructure Solution on Cloud
Tst124            20  22CTISDE751   7         IT Governance  Risk and information security management
Tst89             20  22SEDE14      7         Containers and Dockers
Tst114            19  22IOTDE25     7         Fog Computing
Tst134            19  22IOTDE24     7         Smart Contracts
Tst59             16  23CSDE22      5         Data Analytics and Machine Learning for Cyber security  Elective-2
Tst110            14  22CSDE25      7         Elective-5 Speech recognition
Tst112            14  22CSDE24      7         Elective-4 Applications of AI
